날짜,제목,글쓴이,조회,공감,비공감
2022.06.28 14:26,"아직도 공매...공매 거리는 멍청한 인간...
				[2]",coji****,169,2,10
2022.06.28 14:26,4조5천억짜리 공시로 한탕 해먹엇네,dbdl****,147,6,1
2022.06.28 14:26,아가리 벌리고 있네 ㅡㅡ,ogco****,95,1,3
2022.06.28 14:25,구라핀,mari****,102,6,1
2022.06.28 14:23,"상승 vi 까지 봤는데
				[1]",dldj****,146,5,1
2022.06.28 14:23,오널모습보니 국일이,flow****,127,6,1
2022.06.28 14:21,아 진짜 공매좀 손보라고,choi****,121,5,3
2022.06.28 14:19,공매도 살인 적이네,ogco****,115,3,1
2022.06.28 14:19,어휴 진짜 국일공매 끔찍하다,choi****,104,1,3
2022.06.28 14:17,에이고 주담아...대표야...,jjan****,126,3,0
2022.06.28 14:17,이거 그래핀 상용화되도,sun8****,132,3,0
2022.06.28 14:17,오늘 지렸다. 너땜에...,k3d3****,109,2,0
2022.06.28 14:16,그라핀 사망,tgtg****,106,3,0
2022.06.28 14:16,휴 순간 손댈뻔 했는데,wjdr****,104,2,1
2022.06.28 14:15,"이새기들 생각하면 구글 첫언급 NDA
				[1]",thie****,146,2,2
2022.06.28 14:14,아 개욱겨 ㅋㅋ 파란불,dbdl****,100,2,1
2022.06.28 14:21,아 개욱겨 ㅋㅋ 파란불,seon****,66,1,0
2022.06.28 14:14,모건 신한 한투 다있네,phoe****,112,2,1
2022.06.28 14:12,"국일제지랑 이엔플러스 2종목은 기억해놔
				[1]",thie****,176,9,1
2022.06.28 14:12,나도,the8****,98,2,0
2022.06.28 14:11,개미 호구 새끼들 또 속았내ㅋㅋㅋ,jcu0****,104,5,0
2022.06.28 14:11,모건,kes5****,96,3,0
2022.06.28 14:10,이투데이 안경무 기자,josh****,138,2,0
2022.06.28 14:10,내일 공시뜨나,choi****,109,2,1
2022.06.28 14:10,소외주 호가 준나얇은거,dduk****,95,2,1
2022.06.28 14:10,"상가것다
				[1]",choi****,129,1,1
2022.06.28 14:09,국밥제지,mari****,80,1,0
2022.06.28 14:09,요즘 모건 좀 심하?ㅋㅋㅋ,phoe****,98,0,1
2022.06.28 14:09,과연 누가 이길까?,sun8****,96,0,1
2022.06.28 14:09,♥♥국일사기꾼 솨리질럿 ㅅㅅㅅㅅㅅㅅㅅ,magi****,85,1,0
2022.06.28 14:09,여기 주포 미쳤네,aden****,95,2,0
2022.06.28 14:08,요거대박나것다,choi****,102,0,3
2022.06.28 14:08,주포님,fuct****,81,2,0
2022.06.28 14:08,예전에 1000원도 안된느게 8000원찍...,thie****,90,1,0
2022.06.28 14:07,실시간종목떠서 간만에  와봤드만,dduk****,93,2,1
2022.06.28 14:07,아 시원해,skek****,78,1,0
2022.06.28 14:07,"모간 진짜 고점에 잘파네..
				[1]",xmkk****,106,1,0
2022.06.28 14:07,공매,kes5****,102,1,0
2022.06.28 14:06,예전 국일이가 아니네,flow****,101,1,0
2022.06.28 14:06,하방vi  2710매수됐네,west****,103,0,1
2022.06.28 14:06,사기꾼들ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ...,gunw****,91,1,0
2022.06.28 14:06,물릴뻔 했네   ㅋㅋㅋㅋㅋㅋㅋㅋ,new0****,85,1,0
2022.06.28 14:06,잠깐 소낙비에 범람 장마냐?ㅋㅋ,nava****,82,1,0
2022.06.28 14:05,4조5천억?ㅋㅋㅋㅋㅋ또 우려먹네,dbdl****,126,1,1
2022.06.28 14:05,아니다 싶으면 빨리튀어라 왜냐하면,thie****,87,2,0
2022.06.28 14:05,이거 공매도 작업이였는데,sonc****,101,2,0
2022.06.28 14:04,"뭐고 임마
				[1]",tttm****,104,1,0
