날짜,제목,글쓴이,조회,공감,비공감
2022.05.27 13:30,"♥♥너무합니다.
				[1]",ehdu****,277,3,0
2022.05.27 08:22,"♥♥단재완회장님~!!***
				[1]",ehdu****,288,2,1
2022.05.27 00:06,"해성산업 장난 그만쳐라..
				[1]",dyse****,511,9,1
2022.05.25 15:41,"우선주를 사라.. ㅉㅉㅉ 이 똥뭉충이들아...
				[1]",chlc****,274,0,5
2022.05.25 14:39,디에스 오르면 산업은 안좋은거 같은데..,hopa****,236,3,0
2022.05.26 07:23,디에스 오르면 산업은 안좋은거 같은데..,obal****,118,1,0
2022.05.25 10:21,"자회사 가는데
				[1]",toma****,337,3,0
2022.05.25 10:30,자회사 가는데,8912****,188,0,0
2022.05.24 12:50,김진표?,hjh3****,205,0,0
2022.05.20 13:24,"어이 단씨~~
				[1]",colo****,666,19,1
2022.05.20 12:39,"자리 좋다. 홀 ㅡ딩
				[2]",anno****,446,2,2
2022.05.20 11:17,"단씨  주가  관리 안한다
				[2]",wsys****,366,2,2
2022.05.20 09:39,해성산업 1분기 당기 순이익이 얼마인가요...,8912****,350,2,2
2022.05.19 14:32,"김진표 의원이 유력하다고는 하는데
				[2]",jp1j****,479,2,4
2022.05.19 12:28,♥♥단재완회장님.~!!**,ehdu****,236,3,1
2022.05.19 10:21,"동원산업 반면교사
				[1]",8912****,346,5,1
2022.05.19 08:49,"시초가 시장가로 던지고 촉수굼쥐
				[1]",babo****,248,0,4
2022.05.18 17:03,"슈퍼개미 김정환
				[2]",toma****,767,8,0
2022.05.18 10:10,"이실적에
				[2]",heo3****,587,4,0
2022.05.18 10:02,"♥♥단재완회장님.~!!!+++++
				[1]",ehdu****,247,0,0
2022.05.17 16:01,"월봉 양봉 별이 3개
				[1]",h126****,391,1,2
2022.05.17 14:25,"※※단재완회장님.~!!!!!+++++
				[1]",ehdu****,502,1,3
2022.05.17 09:20,풀매도,babo****,274,2,1
2022.05.17 09:17,김진표 국회의장 유력,co76****,294,0,2
2022.05.16 19:26,김진표!!!,ypar****,408,1,0
2022.05.16 17:49,"시간외 급등
				[2]",co76****,706,3,6
2022.05.16 17:47,"(뉴스) 김진표 국회의장 확실시  해성산...
				[1]",co76****,473,0,2
2022.05.16 16:55,"김진표 국회의장 유력후보 해성산업  초대...
				[1]",co76****,386,3,1
2022.05.16 16:21,확정실적,tum9****,396,5,0
2022.05.16 15:20,"차기 국회의장  대장주 해성산업
				[1]",co76****,442,5,1
2022.05.16 14:43,김진표  국회의장 대장주 해상산업 3만원...,co76****,324,3,3
2022.05.13 17:32,아직도 8만원대 주주 있으려나?,sky2****,429,1,1
2022.05.12 20:53,"ㄸㅓㄴㅏ ㄹ ㅏ
				[1]",job5****,273,3,1
2022.05.12 09:26,[삭제된 게시물의 답글]돈잘버는 회사가 ...,8912****,218,1,0
2022.05.09 12:23,"퀀트K 기업서한 to 해성산업
				[1]",ypar****,580,3,3
2022.05.09 09:40,[삭제된 게시물의 답글]오르겠다,8912****,190,0,0
