날짜,제목,글쓴이,조회,공감,비공감
2022.06.30 13:27,이거,alst****,168,0,0
2022.06.30 13:25,진짜 해도해도 너무하네,doyo****,207,1,0
2022.06.30 13:16,어디전쟁났나요?,js_0****,193,1,0
2022.06.30 13:15,먼일이레,chun****,170,1,0
2022.06.30 13:06,지지선 모두 다 깨지고,stor****,178,1,0
2022.06.30 13:06,90  무너지면 손절,pp22****,150,1,0
2022.06.30 12:36,(공지) 포케 총사령관입니다,3min****,599,12,6
2022.06.30 12:33,무증..,hack****,221,1,0
2022.06.30 12:10,내일사라,cybe****,386,4,0
2022.06.30 12:02,11만은 안깨려나보다,rara****,271,1,0
2022.06.30 11:23,저번에 9.6당한게 있어서,sky5****,371,2,1
2022.06.30 11:22,96000원 보러가겠는데,rara****,167,0,0
2022.06.30 10:55,이상하네요,mspa****,374,2,1
2022.06.30 10:47,"포케 인재부족 [단독]한 번 떠났던 사람인데…포스코케미칼, 中 출신 임원 잇달아 영입",xixi****,307,0,0
2022.06.30 10:46,매우쳐라!,alst****,149,2,1
2022.06.30 10:43,나라 대통령 너거손으로 뽑았잖어,gold****,217,8,2
2022.06.30 10:24,좋다.,alst****,325,1,0
2022.06.30 09:52,8월엔 30만 간다.,dafu****,416,3,5
2022.06.30 09:44,여기도 공매넘 저기도 공매넘,sjle****,154,0,0
2022.06.30 08:46,유럽시장 내 영국을 필두로...,netp****,534,21,3
2022.06.29 23:49,매국노삐끼영입,ko22****,288,1,6
2022.06.29 22:32,LIKEBEE   네이버,dael****,252,1,0
2022.06.29 17:45,시간외 폭등중이네 ㄷㄷㄷ 뭔일있나 ㄷㄷㄷ,dafu****,665,2,4
2022.06.29 19:12,시간외 폭등중이네 ㄷㄷㄷ 뭔일있나 ㄷㄷㄷ,gy31****,226,0,1
2022.06.29 13:34,이제는 거스를 수 없는데 포케는 어떻게 될까요,mani****,864,2,0
2022.06.29 13:30,111000원이 저점이었네,jinh****,294,2,0
2022.06.29 10:54,●삼성SDI-SK온 예정대로,maxf****,599,2,0
2022.06.29 10:41,● LG엔솔-시점·규모 조정,maxf****,318,0,0
2022.06.29 10:27,● LG (실시간 IR 내용),maxf****,359,1,0
2022.06.29 10:21,99000원 간다 ~~,kobi****,535,4,5
2022.06.29 10:17,얘는 엘앤 에코 하락만 따라감 ㅋㅋ,qkrg****,248,4,1
2022.06.29 10:15,이거 아무래도,mrks****,204,1,0
2022.06.29 10:13,매수타이밍을 못잡겠네요,jinh****,400,2,1
2022.06.29 10:11,도대체...,shin****,339,2,1
2022.06.29 10:06,이번주 계속빠짐,cybe****,243,2,0
2022.06.29 09:52,포스코케미칼 톡'방이얘요,badi****,229,1,0
2022.06.29 09:43,떡락케미칼 대여정의 시작.,dafu****,493,6,2
2022.06.29 09:39,뚜르르르르르 ,lees****,161,0,1
2022.06.29 09:36,하한가는 안간다,fuel****,220,1,0
2022.06.29 09:36,사망케미칼,stor****,150,0,0
2022.06.29 09:26,키움.한국증권,hsc1****,197,0,0
2022.06.29 09:16,ㅅㅊㅎ이나 일으키고 진짜 거지같네,0314****,186,0,0
2022.06.29 08:56,포스코 성추행 달인  ㅅ . ㅖㅋ ㅣ덜만,tpwl****,149,0,0
2022.06.29 08:44,어제 팔았어야했네,rara****,156,1,0
2022.06.29 08:31,돔황챠 오늘 대폭락 느낌 빡,sims****,137,0,1
2022.06.28 18:40,공매도 개선책 금융감독위는 뮐하는가,yms2****,494,24,1
2022.06.28 17:41,저번주 전라도 뉴우ㅡ쓰,roya****,346,5,15
