날짜,제목,글쓴이,조회,공감,비공감
2022.05.27 13:44,노인분들,erne****,294,14,2
2022.05.27 10:32,경영진들은 주주들 원성이 들리지 않는건지...,eorm****,358,18,2
2022.05.27 09:01,"요즘 아세아제지 종토방 특
				[17]",6004****,589,5,5
2022.05.26 19:32,"다 던지길래
				[3]",ckck****,495,10,0
2022.05.26 16:43,그냥 다 죽자!!!,eorm****,226,11,0
2022.05.26 16:31,다시 한번 엄중히 요구한다,cspa****,206,6,2
2022.05.26 16:29,"미래에셋 10억넘는 큰손이 매도
				[1]",vipa****,346,3,0
2022.05.26 12:59,"경영진.대주주에게 건의합니다!
				[2]",rim6****,473,44,3
2022.05.26 16:18,경영진에게 건의합니다!,koom****,177,10,0
2022.05.26 12:52,열받는다,youn****,223,7,0
2022.05.26 11:59,"염치없지만 아세아제지 주주님들께 부탁의 ...
				[5]",luke****,505,5,12
2022.05.26 11:54,"진짜 뭐 가튼 회사
				[2]",erne****,281,3,1
2022.05.26 11:40,"골판지 - 미래에셋의 손절 투매물량
				[4]",whsk****,479,6,0
2022.05.26 11:38,"미래에셋에서 한방에 던짐 3개회사
				[3]",vipa****,351,0,1
2022.05.26 11:26,"오 역대급 거래량 터졌다
				[4]",ckck****,308,0,1
2022.05.26 10:59,"대단하다!! 제지주들 올라갈때도 떨어지고...
				[4]",soul****,271,4,1
2022.05.26 10:52,"장이 좋아도 떨어져
				[2]",ckck****,203,1,1
2022.05.26 10:33,"훈tiger 인tiger bros.
				[2]",erne****,219,3,1
2022.05.25 19:28,●아세아제지 펄프값 상승 분석 방금 올라...,yyle****,282,1,9
2022.05.25 18:06,이제 매수타이밍인데,seos****,212,5,6
2022.05.25 17:58,한달전에,sson****,161,7,0
2022.05.25 16:35,"최소한의 양심을 지켜라
				[1]",cspa****,176,7,2
2022.05.25 14:56,"ㅋㅋㅋㅋㅋㅋㅋ진짜
				[2]",ckck****,254,4,2
2022.05.25 14:24,"주담 통화내용
				[13]",shki****,573,15,1
2022.05.25 14:13,월봉보면,rlat****,153,2,0
2022.05.25 14:00,"차트 깨졌습니다
				[1]",rlat****,223,2,1
2022.05.25 10:34,"훈범아 인범아
				[33]",erne****,558,24,1
2022.05.25 10:08,"도대체 거래량이 이게 뭐냐....어찌 토...
				[2]",soul****,260,1,1
2022.05.25 08:50,"제지주들
				[3]",cafe****,374,1,1
2022.05.24 19:10,"오늘 떨어진 이유 원숭이대창,동성애 때문...",tjdu****,177,0,1
2022.05.24 13:39,"3.5 제시
				[2]",rlat****,352,6,10
2022.05.24 10:20,"주주친화적인 기업이 아닙니다
				[7]",eorm****,323,5,2
2022.05.23 12:56,"자사주 매입 안하냐? 중간배당 안하냐?
				[4]",erne****,461,13,1
2022.05.21 08:45,"대피령 발동
				[3]",rlat****,633,2,4
2022.05.20 13:01,"하... 요기 절로나오네
				[3]",erne****,495,10,6
2022.05.20 09:07,"주주친화적인 기업이 아닙니다
				[14]",eorm****,414,9,8
2022.05.19 09:33,"주주친화적인 기업이 아닙니다
				[5]",eorm****,388,10,4
2022.05.17 14:53,"호가창이 변태스럽네
				[3]",erne****,525,12,7
2022.05.17 12:55,"주주친화적인 기업이 아닙니다
				[15]",eorm****,485,14,2
2022.05.17 11:34,"결산서를 통한 여러가지 분석5
				[2]",rim6****,520,12,1
2022.05.17 08:01,"1분기 호실적이지만...
				[4]",rlat****,647,1,14
2022.05.16 20:08,"골판지는 성장주....^^
				[1]",kks4****,543,7,4
2022.05.16 19:35,"2분기는 350억 이상 예상한다~
				[1]",yeon****,364,5,4
2022.05.16 16:49,"1분기 실적
				[3]",jinh****,791,10,1
2022.05.16 16:39,"영업이익은 320억
				[3]",erne****,519,3,1
2022.05.16 13:30,"배당 ㄱ ㅐ 같이 줄때 튀었어야 했는데
				[2]",erne****,389,6,1
2022.05.16 12:59,"삼보판지는 실적
				[3]",tjsr****,564,1,0
2022.05.16 09:49,"오늘도 글렀는 것 같습니다
				[3]",bict****,390,2,4
2022.05.14 09:12,summ****아 끝까지 가보자는 거냐?,bict****,437,4,3
2022.05.13 12:00,"summ****아 내 ID 내놔라
				[2]",bict****,230,4,1
2022.05.13 11:21,"훈범아 인범아
				[1]",erne****,296,8,0
2022.05.13 10:52,"실발하면 -5%
				[1]",kebe****,228,1,0
2022.05.13 10:25,"훠어어어어어어엉~~~~
				[1]",nude****,209,3,0
2022.05.13 09:52,"제일로 나쁜놈은 ?
				[1]",jinh****,256,4,0
2022.05.13 09:29,"이 주식 왜이럼?
				[3]",274o****,308,1,0
2022.05.13 07:47,"펄프값 폭등이면
				[2]",2005****,425,1,2
2022.05.12 20:56,summ****아 내 ID 내놔라,bict****,184,3,0
2022.05.12 12:15,"신대양제지와 시총이 비슷 !
				[4]",jinh****,485,4,0
2022.05.12 09:29,훠어어어엉~~~,nude****,213,5,0
2022.05.12 09:26,"모나리자
				[1]",erne****,272,5,0
2022.05.11 23:53,"●아세아제지  제지주 상승이유는?●
				[2]",meta****,261,0,1
2022.05.11 17:20,"실적발표일이 언젠가요?
				[1]",kuru****,344,2,0
2022.05.11 10:45,"영풍제지 상 말아버리네
				[1]",erne****,341,6,1
2022.05.10 22:49,"개세아 제지..
				[1]",park****,251,6,0
2022.05.10 11:05,"영풍제지 시총 3천억.........
				[3]",even****,523,6,5
2022.05.10 10:48,"개세아제지 썩어빠진 골판지
				[1]",nude****,276,7,1
2022.05.10 09:18,"징하다 징해 ㅡㅡ
				[1]",eorm****,264,6,0
2022.05.09 14:12,"짝퉁 bict의 댓글
				[8]",bict****,332,2,4
2022.05.09 11:58,"짝퉁이 더 설치고 다니네요
				[1]",bict****,260,3,3
2022.05.07 16:16,"1분기 영업익
				[10]",yeon****,1000,14,10
2022.05.05 04:36,"여기 거래량이
				[3]",ckck****,585,1,0
2022.05.03 23:03,"지금 필요한 건 인내심
				[3]",skyo****,598,1,3
2022.05.03 16:32,"실적 발표??
				[3]",erne****,602,16,0
2022.05.03 14:04,"물량도 씨가 말라버려뿌?네
				[1]",nude****,410,2,2
2022.04.30 17:00,"와우넷
				[1]",kmy3****,574,3,5
2022.04.27 20:51,"키움 배당금 들어왔나요?
				[3]",dusl****,584,0,5
2022.04.27 11:16,"주주운동이라도 해야겠다
				[4]",whit****,526,22,0
2022.04.27 10:53,"코리안 오너들 리스크
				[3]",erne****,337,11,1
2022.04.27 09:20,"버텨내야 할텐데....
				[1]",nude****,319,4,0
2022.04.21 14:56,나 아는 형님 평단가와서 팔고 나가셨다,sima****,318,3,3
2022.04.20 23:49,주당 5천원 먹겠다고,ojmz****,348,3,4
2022.04.20 08:24,"9프로도 안되는 배당성향
				[7]",yjy1****,908,15,0
2022.04.19 11:41,"인버스야?
				[3]",erne****,361,12,1
2022.04.15 11:02,"배당-삼성증권
				[4]",nhj6****,1067,0,1
2022.04.14 11:26,"아세아그룹은 쌍용차 인수안함?
				[2]",cofm****,499,6,0
2022.04.14 09:22,한국주식시장에 투자하면 안되는 이유,erne****,383,13,2
2022.04.13 20:33,"아세아 제지 뉴스
				[2]",yjy1****,699,5,1
2022.04.13 13:33,"삼전 주식보다 더 무겁네
				[1]",erne****,298,6,0
2022.04.12 16:21,오픈채팅방 개설하였습니다.,quan****,322,12,2
2022.04.12 13:52,입성,anal****,294,4,0
2022.04.12 11:45,제지회사들 주주들,toy1****,283,6,1
2022.04.11 11:53,"거지같은 회사가 배당도 늦게 주네
				[1]",yjy1****,683,15,0
2022.04.10 21:48,"유보된돈이 다 지들돈인줄 아는
				[1]",ahr1****,416,17,0
2022.04.10 10:09,"밑에 글 보고 올립니다.
				[2]",chan****,568,33,0
2022.04.08 15:41,"저만 화가 나나요
				[10]",quan****,678,29,1
2022.04.08 14:49,"배당 언제나오냐...
				[1]",wise****,297,2,0
2022.04.08 14:14,"고지가는 지금도 떨어지고 있습니다.(21...
				[1]",rpfl****,531,5,0
2022.04.07 17:06,"대주주 일가가 상장사 배당에 인색한 이유
				[3]",erne****,518,17,0
2022.04.05 17:26,●제지주 급등이유 참고해보세요~●,pupu****,420,3,2
2022.04.05 11:14,"국제 펄프 가격
				[10]",kbg1****,1440,6,1
2022.04.05 11:04,"어떻게든
				[3]",lsr0****,542,2,1
2022.04.05 09:45,폭등 실화?,cta2****,399,1,2
2022.04.01 23:51,"잘하는거 딱 한가지
				[1]",yeon****,802,3,3
2022.04.01 13:56,1분기 실적발표후 .....,jinh****,441,7,3
2022.04.01 10:56,"매일 매일 같은 패턴
				[3]",erne****,470,6,1
2022.04.01 10:55,"과거랑 현재랑 같은 회사는 미래도 없다
				[2]",eorm****,372,8,1
2022.03.31 14:20,"세종시 공장부지 얘기가 없네
				[1]",jinh****,445,3,2
2022.03.31 13:48,진짜 개욕나오는 회사,erne****,270,11,0
2022.03.30 11:40,뭐이런 개똥같은 주식이 있냐,blue****,304,8,0
2022.03.30 10:54,"일반 주주와 동행하는 멋진 경영철학을 가...
				[1]",erne****,448,6,1
2022.03.30 00:11,시간 좀...,jjs2****,346,1,2
2022.03.29 12:20,"진짜  불질러버리고 싶다.
				[1]",ahr1****,557,13,1
2022.03.29 10:59,아직까지는 ~~,yeon****,364,3,1
2022.03.29 09:43,"야이거 거래량 왜이렇냐
				[1]",sush****,385,2,1
2022.03.28 21:41,4.0.....,rlat****,273,2,1
2022.03.28 16:52,"1분기 분기순익은
				[1]",yeon****,615,2,3
2022.03.28 13:18,"매도가 44,100(손절)
				[1]",bejj****,442,3,6
2022.03.28 12:19,"배추 상하차 골판지 사용은
				[1]",blac****,431,0,1
2022.03.25 10:36,"오케 44500 매수 성공
				[1]",cta2****,671,3,0
2022.03.24 23:02,"평단 44,700원",bejj****,321,1,1
2022.03.23 10:51,"급변하는 경영환경 속에서 배당을 늘리기 ...
				[2]",erne****,912,24,1
2022.03.22 14:16,"尹 ""세종집무실법 신속 처리하자""...정...",bokj****,378,2,4
2022.03.21 20:58,윤석열 새 정부 첫 국무회의 ‘세종’에서...,bokj****,336,3,3
